T,mut_pct,evasion_type,threshold,fpr,tpr
100,20,evasion_pure,13.906578314837764,0.0,0.974
100,20,evasion_pure,13.308918507877031,0.0,0.983
100,20,evasion_pure,12.712198270069774,0.0,0.989
100,20,evasion_pure,12.115771230367397,0.0,0.993
100,20,evasion_pure,11.518557371497694,0.0,0.994
100,20,evasion_pure,10.920818753952375,0.0,0.997
100,20,evasion_pure,10.325138859262188,0.0,0.999
100,20,evasion_pure,9.7281583934635,0.0,1.0
100,20,evasion_pure,4.357535479757878,0.001,1.0
100,20,evasion_pure,3.1643094285075746,0.017,1.0
100,20,evasion_pure,2.5228787452803374,0.078,1.0
100,20,evasion_pure,1.958607314841775,0.243,1.0
100,20,evasion_pure,1.3767507096020994,0.663,1.0
100,20,evasion_pure,0.769551078621726,0.966,1.0
100,20,evasion_pure,0.1804560644581313,1.0,1.0
100,20,evasion_pure,-inf,1.0,1.0
100,20,evasion_dilute,inf,0.0,0.0
100,20,evasion_dilute,34.195179321278836,0.0,0.001
100,20,evasion_dilute,31.80966830182971,0.0,0.003
100,20,evasion_dilute,31.211831628858832,0.0,0.004
100,20,evasion_dilute,30.614393726401687,0.0,0.005
100,20,evasion_dilute,30.018181392829337,0.0,0.006
100,20,evasion_dilute,29.421360790031926,0.0,0.009
100,20,evasion_dilute,28.82390874094432,0.0,0.011
100,20,evasion_dilute,28.22767829327708,0.0,0.014
100,20,evasion_dilute,27.630784142589857,0.0,0.016
100,20,evasion_dilute,27.034328028779893,0.0,0.021
100,20,evasion_dilute,26.437707135543526,0.0,0.027
100,20,evasion_dilute,25.84163750790475,0.0,0.031
100,20,evasion_dilute,25.24412514432751,0.0,0.036
100,20,evasion_dilute,24.647817481888637,0.0,0.044
100,20,evasion_dilute,24.05060999335509,0.0,0.052
100,20,evasion_dilute,23.45345733652187,0.0,0.059
100,20,evasion_dilute,22.856985199745903,0.0,0.065
100,20,evasion_dilute,22.260427655549908,0.0,0.077
100,20,evasion_dilute,21.66354026615147,0.0,0.089
100,20,evasion_dilute,21.0670191780768,0.0,0.098
100,20,evasion_dilute,20.46980030179692,0.0,0.108
100,20,evasion_dilute,19.872895201635192,0.0,0.127
100,20,evasion_dilute,19.276544327964814,0.0,0.142
100,20,evasion_dilute,18.679853713888946,0.0,0.164
100,20,evasion_dilute,18.083019952679617,0.0,0.192
100,20,evasion_dilute,17.48678239993206,0.0,0.207
100,20,evasion_dilute,16.889410289700752,0.0,0.224
100,20,evasion_dilute,16.292429823902065,0.0,0.238
100,20,evasion_dilute,15.69680394257951,0.0,0.262
100,20,evasion_dilute,15.099086932262331,0.0,0.296
100,20,evasion_dilute,14.503070351926786,0.0,0.322
100,20,evasion_dilute,13.906578314837764,0.0,0.347
100,20,evasion_dilute,13.308918507877031,0.0,0.377
100,20,evasion_dilute,12.712198270069774,0.0,0.418
100,20,evasion_dilute,12.115771230367397,0.0,0.449
100,20,evasion_dilute,11.518557371497694,0.0,0.49
100,20,evasion_dilute,10.920818753952375,0.0,0.521
100,20,evasion_dilute,10.325138859262188,0.0,0.565
100,20,evasion_dilute,9.7281583934635,0.0,0.605
100,20,evasion_dilute,9.131943638176958,0.0,0.643
100,20,evasion_dilute,8.534617148551582,0.0,0.679
100,20,evasion_dilute,7.939302159646388,0.0,0.711
100,20,evasion_dilute,7.341988603342887,0.0,0.75
